crop,variety ,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,soil,average_cost
wheat,,1120,1285,1350,1400,1450,1525,1625,1735,1840,1925,1975,black soil,1578
barley,,780,980,980,1100,1150,1225,1325,1410,1440,1525,1600,alluvial soil,1228.63636363636
gram,,2100,2800,3000,3100,3175,3500,4000,4400!,4620,4875,5100,alluvial soil,3627
masur,,2250,2800,2900,2950,3075,3400,3950,4250,4475,4800,5100,loamy soil,3631.81818181818
sunflower,,2350,2800,3700,3700,3750,3800,3950,4100,5388,5650,5885,black soil,4097.54545454546
groundnut,,2300,2700,3700,4000,4000,4030,4220,4450,4890,5090,5275,red soil,4059.54545454545
cotton,medium staple,2500,2800,3600,3700,3750,3800,3860,4020,5150,5255,5515,black soil,3995.45454545455
urad,,2900,3300,4300,4300,4350,4625,5000,5400,5600,5700,6000,loamy soil,4679.54545454546
moong,,3170,3500,4400,4500,4600,4850,5225,5575,6975,7050,7196,black soil,5185.54545454546
tur (Arhar),,3000,3200,3850,4300,4350,4625,5050,5450,5675,5800,6000,black soil,4663.63636363636
maize,,880,980,1175,1310,1310,1325,1365,1425,1700,1760,1850,red soil,1370.90909090909
bajra,,880,980,1175,1250,1250,1275,1330,1425,1950,2000,2150,alluvial soil,1424.09090909091
jowar,hybrid,880,980,1500,1500,1530,1570,1625,1700,2430,2550,2620,alluvial soil,1716.81818181818
paddy,Common,1000,1080,1250,1310,1360,1410,1470,1550,1750,1815,1868,alluvial soil,1442.09090909091
soyabean,Black,1400,1650,2200,2500,2500,2600,2775,3050,3399,3710,3880,black soil,2696.72727272727
